openEpochMillis,closeEpochMillis,open,high,low,close,volume,sourceBars
1125532800000,1125532859000,0.7541,0.7543,0.7536,0.754,57000000,1
1125532860000,1125532919000,0.7539,0.7542,0.7536,0.7536,34000000,1
1125532920000,1125532979000,0.7536,0.7544,0.7535,0.7541,46000000,1
1125532980000,1125533039000,0.7543,0.7545,0.7538,0.7542,27000000,1
1125533040000,1125533099000,0.7543,0.7549,0.7538,0.7547,43000000,1
1125533100000,1125533159000,0.7543,0.755,0.7542,0.7546,37000000,1
1125533160000,1125533219000,0.7546,0.7549,0.7538,0.7546,41000000,1
1125533220000,1125533279000,0.7546,0.7549,0.7541,0.7544,56000000,1
1125533280000,1125533339000,0.7543,0.7548,0.7539,0.7543,47000000,1
1125533340000,1125533399000,0.7543,0.7547,0.7539,0.7545,32000000,1
1125533400000,1125533459000,0.7545,0.7547,0.7541,0.7544,36000000,1
1125533460000,1125533519000,0.7544,0.7546,0.754,0.7542,44000000,1
1125533520000,1125533579000,0.7542,0.7546,0.7541,0.7543,47000000,1
1125533580000,1125533639000,0.7544,0.7548,0.7541,0.7544,38000000,1
1125533640000,1125533699000,0.7544,0.7547,0.7541,0.7546,24000000,1
1125533700000,1125533759000,0.7545,0.7547,0.754,0.7544,48000000,1
1125533760000,1125533819000,0.7544,0.7546,0.754,0.7542,40000000,1
1125533820000,1125533879000,0.7542,0.7545,0.7538,0.7542,37000000,1
1125533880000,1125533939000,0.7542,0.7544,0.7538,0.7541,26000000,1
1125533940000,1125533999000,0.754,0.7544,0.7538,0.7541,71000000,1
1125534000000,1125534059000,0.7541,0.7544,0.7537,0.7541,64000000,1
1125534060000,1125534119000,0.7541,0.7542,0.7537,0.7542,44000000,1
1125534120000,1125534179000,0.7542,0.7542,0.7535,0.754,69000000,1
1125534180000,1125534239000,0.754,0.7542,0.7534,0.7538,67000000,1
1125534240000,1125534299000,0.7536,0.7543,0.7535,0.754,59000000,1
1125534300000,1125534359000,0.7542,0.7543,0.7536,0.7538,35000000,1
