openEpochMillis,closeEpochMillis,open,high,low,close,volume,sourceBars
1295215200000,1295215259000,0.99056,0.99056,0.99054,0.99056,10380000,1
1295215260000,1295215319000,0.99054,0.99059,0.99042,0.99046,28650000,1
1295215320000,1295215379000,0.99073,0.99104,0.99063,0.99095,19470000,1
1295215380000,1295215439000,0.99095,0.99095,0.9906,0.99064,100610000,1
1295215440000,1295215499000,0.9906,0.9906,0.99029,0.99049,78820000,1
1295215500000,1295215559000,0.99063,0.99064,0.99055,0.99056,11570000,1
1295215560000,1295215619000,0.99063,0.99063,0.99063,0.99063,3000000,1
1295215680000,1295215739000,0.99063,0.99063,0.99056,0.99056,4660000,1
1295215740000,1295215799000,0.99056,0.99056,0.99055,0.99055,3150000,1
1295215800000,1295215859000,0.99056,0.99056,0.99053,0.99053,15980000,1
1295215860000,1295215919000,0.99053,0.99053,0.99053,0.99053,1880000,1
1295215920000,1295215979000,0.99053,0.99053,0.99053,0.99053,2630000,1
1295215980000,1295216039000,0.99053,0.99054,0.99046,0.99051,11180000,1
1295216040000,1295216099000,0.99051,0.99051,0.99015,0.99021,66380000,1
1295216100000,1295216159000,0.9902,0.99023,0.99013,0.99015,23930000,1
1295216160000,1295216219000,0.99023,0.99023,0.99009,0.9901,15830000,1
1295216220000,1295216279000,0.9901,0.99015,0.99008,0.99012,13730000,1
1295216280000,1295216339000,0.99012,0.99012,0.99012,0.99012,3000000,1
1295216340000,1295216399000,0.99012,0.99012,0.99012,0.99012,3000000,1
1295216460000,1295216519000,0.99013,0.99019,0.99013,0.99019,6750000,1
1295216520000,1295216579000,0.99019,0.99019,0.99019,0.99019,1500000,1
1295216580000,1295216639000,0.9902,0.99037,0.9902,0.99031,19500000,1
1295216640000,1295216699000,0.99033,0.99034,0.99023,0.99026,15380000,1
1295216700000,1295216759000,0.99026,0.9903,0.9902,0.9902,15080000,1
1295216760000,1295216819000,0.99021,0.99032,0.99017,0.99025,49280000,1
1295216820000,1295216879000,0.99025,0.99025,0.99015,0.99019,16500000,1
1295216880000,1295216939000,0.99023,0.99023,0.99022,0.99022,3000000,1
1295216940000,1295216999000,0.99022,0.99022,0.99022,0.99022,1500000,1
1295217000000,1295217059000,0.99025,0.99031,0.99019,0.99019,16130000,1
1295217060000,1295217119000,0.99019,0.99021,0.99019,0.99019,6000000,1
1295217120000,1295217179000,0.99019,0.99019,0.99007,0.99013,12000000,1
1295217180000,1295217239000,0.99018,0.99018,0.98998,0.98998,10500000,1
1295217240000,1295217299000,0.98998,0.9902,0.98991,0.99017,35700000,1
1295217300000,1295217359000,0.99017,0.99017,0.98988,0.99004,18720000,1
1295217360000,1295217419000,0.99005,0.99005,0.98991,0.99,19840000,1
1295217420000,1295217479000,0.98998,0.99001,0.98991,0.99001,12230000,1
1295217480000,1295217539000,0.99,0.99007,0.98996,0.99004,13500000,1
1295217540000,1295217599000,0.99005,0.99008,0.99004,0.99008,4690000,1
1295217600000,1295217659000,0.99008,0.99019,0.98997,0.99015,25920000,1
1295217660000,1295217719000,0.99013,0.99013,0.99006,0.99006,7650000,1
1295217720000,1295217779000,0.99009,0.99015,0.99009,0.99015,4500000,1
1295217780000,1295217839000,0.99015,0.99031,0.99015,0.99031,6000000,1
1295217840000,1295217899000,0.99031,0.99031,0.99031,0.99031,3000000,1
1295217900000,1295217959000,0.99026,0.99031,0.99022,0.99022,6000000,1
1295217960000,1295218019000,0.99022,0.99022,0.99016,0.99016,4500000,1
1295218200000,1295218259000,0.99016,0.99026,0.99016,0.99025,13320000,1
1295218260000,1295218319000,0.99029,0.99031,0.99012,0.99027,36200000,1
1295218440000,1295218499000,0.99024,0.99024,0.99024,0.99024,1770000,1
1295218500000,1295218559000,0.99031,0.99043,0.99031,0.99033,20270000,1
1295218560000,1295218619000,0.99033,0.99054,0.99025,0.99033,57320000,1
1295218620000,1295218679000,0.99034,0.99048,0.99028,0.99028,16900000,1
1295218680000,1295218739000,0.9903,0.9903,0.99027,0.99029,14290000,1
1295218740000,1295218799000,0.99032,0.99042,0.99027,0.99039,17090000,1
1295218800000,1295218859000,0.99038,0.99038,0.9902,0.99028,30380000,1
1295218860000,1295218919000,0.99029,0.99041,0.99029,0.99041,21770000,1
1295218920000,1295218979000,0.9905,0.99051,0.99036,0.99041,24440000,1
1295218980000,1295219039000,0.99042,0.99042,0.99041,0.99041,3380000,1
1295219040000,1295219099000,0.99041,0.99041,0.99017,0.99033,16130000,1
1295219100000,1295219159000,0.99033,0.99037,0.99033,0.99034,9000000,1
1295219160000,1295219219000,0.99035,0.99035,0.99035,0.99035,1500000,1
1295219220000,1295219279000,0.99035,0.99059,0.99034,0.99042,55890000,1
1295219280000,1295219339000,0.99042,0.99046,0.99039,0.99041,38340000,1
1295219340000,1295219399000,0.99041,0.99054,0.99041,0.99051,43410000,1
1295219400000,1295219459000,0.99048,0.99053,0.99048,0.99052,10730000,1
1295219460000,1295219519000,0.99053,0.99053,0.9902,0.99036,41140000,1
1295219520000,1295219579000,0.99036,0.99036,0.99035,0.99035,7500000,1
1295219580000,1295219639000,0.99034,0.99035,0.99034,0.99034,4500000,1
1295219640000,1295219699000,0.99034,0.99034,0.99034,0.99034,1500000,1
1295219700000,1295219759000,0.99033,0.99036,0.99033,0.99034,8250000,1
1295219760000,1295219819000,0.99034,0.99039,0.99018,0.99039,36000000,1
1295219820000,1295219879000,0.99039,0.99039,0.99029,0.99032,13500000,1
1295219880000,1295219939000,0.99032,0.99032,0.99032,0.99032,6750000,1
1295219940000,1295219999000,0.99031,0.99031,0.99031,0.99031,2250000,1
1295220000000,1295220059000,0.99033,0.99049,0.99033,0.99033,20630000,1
1295220060000,1295220119000,0.9904,0.99049,0.99036,0.99042,11070000,1
1295220120000,1295220179000,0.99039,0.9904,0.99036,0.99039,10880000,1
1295220180000,1295220239000,0.99039,0.99044,0.99039,0.99044,29580000,1
1295220240000,1295220299000,0.99043,0.99043,0.99043,0.99043,1500000,1
1295220300000,1295220359000,0.99052,0.99054,0.99052,0.99054,17790000,1
1295220360000,1295220419000,0.99053,0.9906,0.99049,0.99054,38860000,1
1295220420000,1295220479000,0.99054,0.99082,0.99045,0.99066,90890000,1
1295220480000,1295220539000,0.99064,0.99077,0.99059,0.99077,97420000,1
1295220540000,1295220599000,0.99077,0.99087,0.99077,0.99081,68320000,1
1295220600000,1295220659000,0.99083,0.99083,0.99081,0.99081,22060000,1
1295220660000,1295220719000,0.99081,0.99086,0.99081,0.99086,25880000,1
1295220720000,1295220779000,0.99086,0.9911,0.99081,0.9911,27580000,1
1295220780000,1295220839000,0.9911,0.99127,0.99103,0.99127,39530000,1
1295220840000,1295220899000,0.99123,0.99126,0.9912,0.99123,28800000,1
1295220900000,1295220959000,0.99123,0.99123,0.99118,0.99123,37500000,1
1295220960000,1295221019000,0.99123,0.99148,0.99109,0.99148,66020000,1
1295221020000,1295221079000,0.99148,0.99161,0.99146,0.99152,79410000,1
1295221080000,1295221139000,0.99152,0.99156,0.99133,0.99133,53980000,1
