openEpochMillis,closeEpochMillis,open,high,low,close,volume,sourceBars
1096588800000,1096588859000,199.254,199.29,199.23,199.267,68600000,1
1096588860000,1096588919000,199.26,199.266,199.196,199.238,70200000,1
1096588920000,1096588979000,199.276,199.287,199.228,199.25,82200000,1
1096588980000,1096589039000,199.25,199.259,199.223,199.259,28400000,1
1096589040000,1096589099000,199.238,199.239,199.204,199.205,50100000,1
1096589100000,1096589159000,199.141,199.178,199.124,199.178,34800000,1
1096589160000,1096589219000,199.192,199.204,199.155,199.172,47300000,1
1096589220000,1096589279000,199.193,199.218,199.176,199.207,46800000,1
1096589280000,1096589339000,199.156,199.177,199.127,199.145,78400000,1
1096589340000,1096589399000,199.135,199.135,199.081,199.081,36400000,1
1096589400000,1096589459000,199.13,199.157,199.099,199.106,58500000,1
1096589460000,1096589519000,199.146,199.166,199.127,199.154,62600000,1
1096589520000,1096589579000,199.155,199.219,199.148,199.199,29800000,1
1096589580000,1096589639000,199.225,199.225,199.175,199.18,35000000,1
1096589640000,1096589699000,199.172,199.186,199.148,199.186,52900000,1
1096589700000,1096589759000,199.168,199.2,199.166,199.2,34900000,1
1096589760000,1096589819000,199.231,199.243,199.225,199.232,61400000,1
1096589820000,1096589879000,199.229,199.25,199.208,199.241,49800000,1
1096589880000,1096589939000,199.272,199.285,199.234,199.248,53100000,1
1096589940000,1096589999000,199.215,199.226,199.203,199.206,58800000,1
1096590000000,1096590059000,199.218,199.251,199.215,199.247,21900000,1
1096590060000,1096590119000,199.256,199.285,199.24,199.285,41200000,1
1096590120000,1096590179000,199.256,199.366,199.256,199.34,65000000,1
1096590180000,1096590239000,199.336,199.336,199.29,199.301,21800000,1
1096590240000,1096590299000,199.345,199.345,199.296,199.307,81800000,1
1096590300000,1096590359000,199.283,199.298,199.261,199.277,64400000,1
1096590360000,1096590419000,199.245,199.336,199.219,199.29,82100000,1
1096590420000,1096590479000,199.292,199.302,199.212,199.252,69400000,1
1096590480000,1096590539000,199.284,199.294,199.246,199.246,36000000,1
1096590540000,1096590599000,199.232,199.252,199.21,199.216,32300000,1
1096590600000,1096590659000,199.198,199.246,199.184,199.227,49000000,1
1096590660000,1096590719000,199.264,199.275,199.23,199.23,37900000,1
1096590720000,1096590779000,199.237,199.243,199.197,199.213,63300000,1
1096590780000,1096590839000,199.217,199.243,199.209,199.227,60700000,1
1096590840000,1096590899000,199.202,199.274,199.202,199.267,54800000,1
1096590900000,1096590959000,199.22,199.277,199.22,199.27,66500000,1
1096590960000,1096591019000,199.29,199.296,199.254,199.275,114600000,1
1096591020000,1096591079000,199.258,199.28,199.244,199.268,74500000,1
1096591080000,1096591139000,199.271,199.271,199.224,199.262,73300000,1
1096591140000,1096591199000,199.244,199.252,199.207,199.244,80800000,1
1096591200000,1096591259000,199.256,199.259,199.228,199.259,72100000,1
1096591260000,1096591319000,199.271,199.271,199.218,199.247,66100000,1
1096591320000,1096591379000,199.23,199.302,199.23,199.259,67900000,1
1096591380000,1096591439000,199.258,199.296,199.245,199.296,45100000,1
1096591440000,1096591499000,199.261,199.294,199.255,199.294,32000000,1
1096591500000,1096591559000,199.266,199.295,199.257,199.295,36800000,1
1096591560000,1096591619000,199.275,199.297,199.252,199.252,46700000,1
1096591620000,1096591679000,199.254,199.263,199.247,199.261,39900000,1
1096591680000,1096591739000,199.255,199.295,199.25,199.279,64500000,1
1096591740000,1096591799000,199.284,199.31,199.272,199.287,40800000,1
1096591800000,1096591859000,199.309,199.31,199.258,199.277,46900000,1
1096591860000,1096591919000,199.273,199.295,199.229,199.295,42700000,1
1096591920000,1096591979000,199.257,199.32,199.257,199.299,50600000,1
1096591980000,1096592039000,199.297,199.351,199.297,199.35,47300000,1
1096592040000,1096592099000,199.362,199.411,199.362,199.411,39200000,1
1096592100000,1096592159000,199.43,199.451,199.42,199.443,39400000,1
