openEpochMillis,closeEpochMillis,open,high,low,close,volume,sourceBars
1556668800000,1556668859000,111.397,111.414,111.397,111.411,67790000,1
1556668860000,1556668919000,111.409,111.41,111.404,111.405,30720000,1
1556668920000,1556668979000,111.403,111.403,111.393,111.399,32470000,1
1556668980000,1556669039000,111.4,111.416,111.4,111.415,35350000,1
1556669040000,1556669099000,111.415,111.417,111.415,111.417,14870000,1
1556669100000,1556669159000,111.417,111.423,111.415,111.422,40360000,1
1556669160000,1556669219000,111.423,111.423,111.407,111.411,24480000,1
1556669220000,1556669279000,111.41,111.411,111.409,111.41,7010000,1
1556669280000,1556669339000,111.409,111.411,111.409,111.41,11450000,1
1556669340000,1556669399000,111.409,111.412,111.4,111.411,41850000,1
1556669400000,1556669459000,111.412,111.416,111.405,111.405,57300000,1
1556669460000,1556669519000,111.408,111.418,111.408,111.418,29150000,1
1556669520000,1556669579000,111.417,111.417,111.41,111.41,18890000,1
1556669580000,1556669639000,111.408,111.408,111.4,111.4,53620000,1
1556669640000,1556669699000,111.4,111.412,111.399,111.406,51610000,1
1556669700000,1556669759000,111.405,111.406,111.404,111.404,16330000,1
1556669760000,1556669819000,111.404,111.411,111.404,111.41,22290000,1
1556669820000,1556669879000,111.411,111.412,111.411,111.412,4370000,1
1556669880000,1556669939000,111.411,111.419,111.401,111.401,58940000,1
1556669940000,1556669999000,111.403,111.408,111.403,111.406,18130000,1
1556670000000,1556670059000,111.408,111.419,111.406,111.417,26620000,1
1556670060000,1556670119000,111.415,111.415,111.401,111.401,36940000,1
1556670120000,1556670179000,111.403,111.412,111.403,111.404,24720000,1
1556670180000,1556670239000,111.403,111.405,111.402,111.405,18480000,1
1556670240000,1556670299000,111.404,111.411,111.401,111.401,51940000,1
1556670300000,1556670359000,111.4,111.407,111.4,111.407,18830000,1
1556670360000,1556670419000,111.406,111.408,111.404,111.407,17170000,1
1556670420000,1556670479000,111.407,111.407,111.402,111.403,15040000,1
1556670480000,1556670539000,111.401,111.403,111.401,111.403,6690000,1
1556670540000,1556670599000,111.402,111.402,111.399,111.4,12340000,1
1556670600000,1556670659000,111.399,111.404,111.399,111.404,12200000,1
1556670660000,1556670719000,111.405,111.406,111.405,111.406,5500000,1
1556670720000,1556670779000,111.407,111.407,111.405,111.405,8120000,1
1556670780000,1556670839000,111.405,111.407,111.404,111.407,18120000,1
1556670840000,1556670899000,111.405,111.412,111.405,111.411,45540000,1
1556670900000,1556670959000,111.411,111.412,111.399,111.404,55270000,1
1556670960000,1556671019000,111.404,111.405,111.404,111.405,6940000,1
1556671020000,1556671079000,111.406,111.406,111.405,111.405,5310000,1
1556671080000,1556671139000,111.404,111.404,111.403,111.403,3810000,1
1556671140000,1556671199000,111.404,111.405,111.404,111.405,2310000,1
1556671200000,1556671259000,111.406,111.406,111.404,111.405,9930000,1
1556671260000,1556671319000,111.404,111.405,111.404,111.405,5120000,1
1556671320000,1556671379000,111.405,111.405,111.404,111.405,3250000,1
1556671380000,1556671439000,111.404,111.406,111.404,111.405,10680000,1
1556671440000,1556671499000,111.404,111.405,111.403,111.405,6620000,1
1556671500000,1556671559000,111.404,111.405,111.404,111.405,5120000,1
1556671560000,1556671619000,111.404,111.407,111.403,111.407,8430000,1
1556671620000,1556671679000,111.406,111.406,111.404,111.406,9360000,1
1556671680000,1556671739000,111.405,111.405,111.404,111.405,6860000,1
1556671740000,1556671799000,111.404,111.406,111.403,111.406,10920000,1
1556671800000,1556671859000,111.406,111.406,111.393,111.393,20080000,1
1556671860000,1556671919000,111.393,111.402,111.393,111.4,18170000,1
1556671920000,1556671979000,111.399,111.401,111.394,111.4,14550000,1
1556671980000,1556672039000,111.401,111.405,111.396,111.396,32750000,1
1556672040000,1556672099000,111.395,111.395,111.393,111.394,8150000,1
1556672100000,1556672159000,111.393,111.4,111.393,111.4,26000000,1
1556672160000,1556672219000,111.4,111.401,111.399,111.399,10650000,1
1556672220000,1556672279000,111.4,111.4,111.399,111.4,8450000,1
1556672280000,1556672339000,111.399,111.401,111.394,111.4,17760000,1
1556672340000,1556672399000,111.4,111.406,111.394,111.397,64890000,1
1556672400000,1556672459000,111.397,111.406,111.392,111.396,37950000,1
1556672460000,1556672519000,111.399,111.406,111.399,111.399,22440000,1
1556672520000,1556672579000,111.398,111.41,111.398,111.406,26850000,1
1556672580000,1556672639000,111.406,111.406,111.404,111.404,8750000,1
1556672640000,1556672699000,111.402,111.402,111.397,111.397,10180000,1
1556672700000,1556672759000,111.398,111.398,111.396,111.397,13530000,1
1556672760000,1556672819000,111.397,111.399,111.397,111.399,9720000,1
1556672820000,1556672879000,111.397,111.398,111.397,111.398,4190000,1
1556672880000,1556672939000,111.397,111.399,111.397,111.398,5460000,1
1556672940000,1556672999000,111.399,111.399,111.398,111.398,8990000,1
1556673000000,1556673059000,111.398,111.398,111.393,111.398,15560000,1
1556673060000,1556673119000,111.397,111.404,111.397,111.403,10660000,1
1556673120000,1556673179000,111.402,111.402,111.397,111.398,51580000,1
1556673180000,1556673239000,111.397,111.398,111.397,111.397,5630000,1
1556673240000,1556673299000,111.401,111.403,111.398,111.398,17330000,1
1556673300000,1556673359000,111.398,111.402,111.397,111.402,18560000,1
1556673360000,1556673419000,111.401,111.401,111.398,111.398,12820000,1
1556673480000,1556673539000,111.397,111.398,111.397,111.398,6310000,1
1556673540000,1556673599000,111.397,111.399,111.397,111.399,14130000,1
1556673600000,1556673659000,111.401,111.402,111.398,111.398,16140000,1
1556673660000,1556673719000,111.397,111.399,111.395,111.399,18860000,1
1556673720000,1556673779000,111.398,111.399,111.398,111.399,9150000,1
1556673780000,1556673839000,111.401,111.403,111.401,111.402,36910000,1
1556673840000,1556673899000,111.403,111.403,111.402,111.402,4000000,1
1556673900000,1556673959000,111.403,111.412,111.402,111.404,30040000,1
1556673960000,1556674019000,111.403,111.406,111.403,111.406,10810000,1
1556674020000,1556674079000,111.407,111.407,111.403,111.404,8630000,1
1556674080000,1556674139000,111.403,111.404,111.403,111.403,11110000,1
1556674140000,1556674199000,111.405,111.405,111.404,111.404,7440000,1
1556674200000,1556674259000,111.403,111.405,111.403,111.405,19680000,1
1556674260000,1556674319000,111.404,111.406,111.398,111.405,31730000,1
1556674320000,1556674379000,111.405,111.406,111.404,111.406,12640000,1
1556674380000,1556674439000,111.408,111.418,111.408,111.41,40090000,1
1556674440000,1556674499000,111.411,111.411,111.411,111.411,3680000,1
1556674500000,1556674559000,111.411,111.418,111.411,111.416,22910000,1
1556674560000,1556674619000,111.417,111.418,111.417,111.418,3000000,1
1556674620000,1556674679000,111.417,111.43,111.417,111.423,34840000,1
1556674680000,1556674739000,111.423,111.43,111.423,111.429,15900000,1
1556674740000,1556674799000,111.428,111.429,111.422,111.429,21620000,1
1556674800000,1556674859000,111.428,111.436,111.428,111.43,29390000,1
1556674860000,1556674919000,111.43,111.431,111.429,111.431,10980000,1
1556674920000,1556674979000,111.43,111.431,111.429,111.429,6740000,1
1556674980000,1556675039000,111.428,111.431,111.427,111.429,29130000,1
1556675040000,1556675099000,111.43,111.43,111.424,111.424,18300000,1
1556675100000,1556675159000,111.426,111.431,111.424,111.425,19410000,1
1556675160000,1556675219000,111.425,111.427,111.425,111.426,5870000,1
1556675220000,1556675279000,111.426,111.429,111.423,111.425,24500000,1
1556675280000,1556675339000,111.424,111.424,111.423,111.423,3500000,1
1556675340000,1556675399000,111.423,111.424,111.423,111.424,7870000,1
1556675400000,1556675459000,111.427,111.427,111.423,111.426,21740000,1
1556675460000,1556675519000,111.425,111.429,111.425,111.425,30810000,1
1556675520000,1556675579000,111.424,111.424,111.423,111.424,14650000,1
1556675580000,1556675639000,111.425,111.428,111.425,111.428,13440000,1
1556675640000,1556675699000,111.429,111.43,111.429,111.429,3250000,1
1556675700000,1556675759000,111.428,111.429,111.428,111.429,10190000,1
1556675760000,1556675819000,111.428,111.429,111.428,111.429,5370000,1
1556675820000,1556675879000,111.428,111.43,111.428,111.429,16990000,1
1556675880000,1556675939000,111.431,111.437,111.429,111.437,18300000,1
1556675940000,1556675999000,111.437,111.438,111.434,111.437,23460000,1
1556676000000,1556676059000,111.436,111.436,111.433,111.435,9860000,1
1556676060000,1556676119000,111.435,111.436,111.435,111.436,2810000,1
1556676120000,1556676179000,111.436,111.436,111.436,111.436,1620000,1
1556676180000,1556676239000,111.436,111.436,111.436,111.436,2000000,1
1556676240000,1556676299000,111.436,111.437,111.436,111.436,5810000,1
1556676300000,1556676359000,111.437,111.437,111.436,111.436,3740000,1
1556676360000,1556676419000,111.436,111.437,111.436,111.437,14930000,1
1556676420000,1556676479000,111.436,111.443,111.436,111.442,22500000,1
1556676480000,1556676539000,111.442,111.443,111.442,111.443,14540000,1
1556676540000,1556676599000,111.444,111.445,111.444,111.445,4770000,1
1556676600000,1556676659000,111.448,111.451,111.448,111.451,7440000,1
1556676660000,1556676719000,111.451,111.458,111.45,111.451,32370000,1
1556676720000,1556676779000,111.449,111.45,111.449,111.45,3370000,1
1556676780000,1556676839000,111.449,111.45,111.449,111.449,5750000,1
1556676840000,1556676899000,111.448,111.453,111.448,111.449,17000000,1
1556676900000,1556676959000,111.448,111.449,111.448,111.448,6740000,1
1556676960000,1556677019000,111.449,111.453,111.449,111.452,13260000,1
1556677020000,1556677079000,111.453,111.456,111.453,111.456,7490000,1
1556677080000,1556677139000,111.456,111.456,111.454,111.455,11560000,1
1556677140000,1556677199000,111.455,111.455,111.454,111.455,4240000,1
1556677200000,1556677259000,111.454,111.454,111.449,111.454,26560000,1
1556677260000,1556677319000,111.454,111.455,111.454,111.454,16370000,1
1556677320000,1556677379000,111.454,111.454,111.453,111.453,16360000,1
1556677380000,1556677439000,111.453,111.453,111.447,111.448,15050000,1
1556677440000,1556677499000,111.447,111.448,111.442,111.442,13300000,1
1556677500000,1556677559000,111.443,111.455,111.443,111.454,20740000,1
1556677560000,1556677619000,111.455,111.46,111.453,111.457,39940000,1
1556677620000,1556677679000,111.456,111.456,111.453,111.455,13560000,1
1556677680000,1556677739000,111.454,111.455,111.453,111.455,6750000,1
1556677740000,1556677799000,111.454,111.454,111.441,111.441,18630000,1
1556677800000,1556677859000,111.442,111.454,111.441,111.453,28240000,1
1556677860000,1556677919000,111.454,111.456,111.453,111.453,46840000,1
1556677920000,1556677979000,111.452,111.453,111.447,111.447,11870000,1
