openEpochMillis,closeEpochMillis,open,high,low,close,volume,sourceBars
1425250800000,1425250859000,1213.669,1214.089,1213.449,1214.079,20000,1
1425250860000,1425250919000,1214.08,1215.33,1213.909,1215.049,20000,1
1425250920000,1425250979000,1215.05,1215.419,1214.791,1214.791,20000,1
1425250980000,1425251039000,1214.791,1215.031,1214.479,1214.479,10000,1
1425251040000,1425251099000,1214.529,1214.68,1214.179,1214.18,10000,1
1425251100000,1425251159000,1214.179,1214.179,1213.879,1213.88,10000,1
1425251160000,1425251219000,1213.879,1213.929,1213.329,1213.33,20000,1
1425251220000,1425251279000,1213.329,1213.63,1213.329,1213.429,10000,1
1425251280000,1425251339000,1213.43,1213.43,1213.269,1213.429,10000,1
1425251340000,1425251399000,1213.43,1213.43,1213.229,1213.329,10000,1
1425251400000,1425251459000,1213.229,1213.329,1212.929,1213.078,20000,1
1425251460000,1425251519000,1213.078,1213.134,1212.973,1213.134,10000,1
1425251520000,1425251579000,1213.164,1213.26,1213.029,1213.259,10000,1
1425251580000,1425251639000,1213.26,1213.66,1213.259,1213.27,10000,1
1425251640000,1425251699000,1213.261,1213.481,1213.219,1213.441,10000,1
1425251700000,1425251759000,1213.441,1213.441,1213.279,1213.411,10000,1
1425251760000,1425251819000,1213.421,1213.721,1213.412,1213.422,10000,1
1425251820000,1425251879000,1213.422,1213.432,1213.192,1213.371,10000,1
1425251880000,1425251939000,1213.371,1213.371,1213.209,1213.29,10000,1
1425251940000,1425251999000,1213.289,1213.3,1213.209,1213.21,10000,1
1425252000000,1425252059000,1213.209,1213.209,1213.011,1213.011,10000,1
1425252060000,1425252119000,1213.011,1213.011,1212.811,1212.861,10000,1
1425252120000,1425252179000,1212.861,1212.941,1212.751,1212.841,0,1
1425252180000,1425252239000,1212.841,1212.902,1212.541,1212.541,10000,1
1425252240000,1425252299000,1212.541,1212.741,1212.509,1212.51,10000,1
1425252300000,1425252359000,1212.51,1212.8,1212.509,1212.71,10000,1
1425252360000,1425252419000,1212.709,1213.472,1212.709,1213.421,10000,1
1425252420000,1425252479000,1213.421,1213.841,1213.421,1213.702,10000,1
1425252480000,1425252539000,1213.659,1213.819,1213.619,1213.721,10000,1
1425252540000,1425252599000,1213.743,1213.743,1213.508,1213.519,10000,1
1425252600000,1425252659000,1213.522,1213.535,1213.42,1213.424,0,1
1425252660000,1425252719000,1213.436,1213.442,1213.409,1213.442,0,1
1425252720000,1425252779000,1213.428,1213.597,1213.428,1213.531,10000,1
1425252780000,1425252839000,1213.557,1214.012,1213.557,1213.961,10000,1
1425252840000,1425252899000,1213.961,1214.15,1213.634,1214.142,10000,1
1425252900000,1425252959000,1214.142,1214.489,1214.091,1214.489,20000,1
1425252960000,1425253019000,1214.489,1214.581,1214.489,1214.538,20000,1
1425253020000,1425253079000,1214.538,1214.539,1214.078,1214.079,30000,1
1425253080000,1425253139000,1214.079,1214.438,1214.079,1214.188,20000,1
1425253140000,1425253199000,1214.161,1214.161,1213.888,1213.888,10000,1
1425253200000,1425253259000,1213.829,1214.028,1213.728,1213.828,30000,1
1425253260000,1425253319000,1213.842,1213.978,1213.842,1213.879,20000,1
1425253320000,1425253379000,1213.829,1214.119,1213.829,1214.119,10000,1
1425253380000,1425253439000,1214.119,1214.119,1214.029,1214.068,10000,1
1425253440000,1425253499000,1214.118,1214.183,1214.028,1214.178,10000,1
1425253500000,1425253559000,1214.125,1214.139,1214.125,1214.139,0,1
1425253560000,1425253619000,1214.152,1214.196,1214.135,1214.148,10000,1
1425253620000,1425253679000,1214.161,1214.161,1214.068,1214.068,0,1
1425253680000,1425253739000,1214.118,1214.679,1214.118,1214.679,20000,1
1425253740000,1425253799000,1214.679,1214.679,1214.418,1214.669,20000,1
1425253800000,1425253859000,1214.669,1214.669,1214.468,1214.468,20000,1
1425253860000,1425253919000,1214.474,1214.475,1214.418,1214.425,0,1
1425253920000,1425253979000,1214.43,1214.43,1214.372,1214.372,0,1
1425253980000,1425254039000,1214.372,1214.372,1214.297,1214.338,0,1
1425254040000,1425254099000,1214.338,1214.528,1214.338,1214.471,10000,1
1425254100000,1425254159000,1214.469,1214.523,1214.467,1214.467,0,1
1425254160000,1425254219000,1214.465,1214.465,1214.25,1214.279,10000,1
1425254220000,1425254279000,1214.288,1214.323,1214.22,1214.228,0,1
1425254280000,1425254339000,1214.132,1214.132,1214.028,1214.081,0,1
1425254340000,1425254399000,1214.07,1214.084,1214.036,1214.036,0,1
1425254400000,1425254459000,1214.002,1214.014,1213.791,1213.884,20000,1
1425254460000,1425254519000,1213.913,1214.361,1213.913,1214.191,20000,1
1425254520000,1425254579000,1214.176,1214.176,1213.992,1214.026,10000,1
1425254580000,1425254639000,1214.027,1214.33,1213.931,1214.308,20000,1
1425254640000,1425254699000,1214.283,1214.283,1214.069,1214.081,20000,1
1425254700000,1425254759000,1214.069,1214.079,1213.821,1213.892,10000,1
1425254760000,1425254819000,1213.941,1214.124,1213.941,1214.124,20000,1
1425254820000,1425254879000,1214.142,1214.389,1214.142,1214.274,20000,1
1425254880000,1425254939000,1214.286,1214.46,1214.286,1214.311,10000,1
1425254940000,1425254999000,1214.311,1214.641,1214.311,1214.618,20000,1
1425255000000,1425255059000,1214.641,1214.937,1214.509,1214.903,30000,1
1425255060000,1425255119000,1214.891,1215.222,1214.884,1214.928,40000,1
1425255120000,1425255179000,1214.941,1215.182,1214.941,1214.989,30000,1
1425255180000,1425255239000,1214.976,1215.289,1214.932,1215.289,30000,1
1425255240000,1425255299000,1215.289,1215.388,1215.189,1215.289,40000,1
1425255300000,1425255359000,1215.289,1215.389,1215.215,1215.339,10000,1
1425255360000,1425255419000,1215.288,1215.289,1215.188,1215.289,50000,1
1425255420000,1425255479000,1215.289,1215.348,1215.078,1215.348,60000,1
1425255480000,1425255539000,1215.348,1215.361,1215.248,1215.34,20000,1
1425255540000,1425255599000,1215.329,1215.38,1214.921,1215.064,30000,1
1425255600000,1425255659000,1215.075,1215.114,1214.665,1215.064,20000,1
1425255660000,1425255719000,1214.994,1214.994,1214.804,1214.804,10000,1
1425255720000,1425255779000,1214.764,1214.78,1214.621,1214.621,0,1
1425255780000,1425255839000,1214.621,1214.623,1214.621,1214.623,0,1
1425255840000,1425255899000,1214.721,1214.824,1214.721,1214.777,10000,1
1425255900000,1425255959000,1214.764,1214.888,1214.764,1214.874,10000,1
1425255960000,1425256019000,1214.902,1215.081,1214.681,1215.081,10000,1
1425256020000,1425256079000,1215.081,1215.211,1215.042,1215.211,0,1
1425256080000,1425256139000,1215.211,1215.419,1215.211,1215.399,10000,1
1425256140000,1425256199000,1215.414,1215.746,1215.364,1215.746,20000,1
1425256200000,1425256259000,1215.671,1215.82,1215.566,1215.798,30000,1
1425256260000,1425256319000,1215.825,1215.83,1215.713,1215.714,10000,1
1425256320000,1425256379000,1215.725,1215.876,1215.698,1215.853,10000,1
1425256380000,1425256439000,1215.829,1215.876,1215.679,1215.724,10000,1
1425256440000,1425256499000,1215.712,1215.88,1215.707,1215.88,10000,1
1425256500000,1425256559000,1215.892,1216.015,1215.854,1215.854,10000,1
1425256560000,1425256619000,1215.854,1215.911,1215.732,1215.732,10000,1
1425256620000,1425256679000,1215.732,1215.771,1215.582,1215.771,10000,1
1425256680000,1425256739000,1215.719,1215.869,1215.629,1215.629,10000,1
1425256740000,1425256799000,1215.63,1215.73,1215.63,1215.69,10000,1
