openEpochMillis,closeEpochMillis,open,high,low,close,volume,sourceBars
1396310400000,1396310879000,1.52239,1.52251,1.5222,1.52228,253010000,8
1396310880000,1396311359000,1.52227,1.52257,1.52193,1.52215,359610000,8
1396311360000,1396311839000,1.52218,1.5225,1.52193,1.52214,414860000,8
1396311840000,1396312319000,1.52214,1.52257,1.52203,1.52256,283730000,8
1396312320000,1396312799000,1.52255,1.52279,1.52244,1.52273,408280000,8
1396312800000,1396313279000,1.52272,1.52294,1.52207,1.52231,469950000,8
1396313280000,1396313759000,1.52231,1.52231,1.52177,1.52196,411980000,8
1396313760000,1396314239000,1.52198,1.52238,1.52185,1.5219,636060000,8
1396314240000,1396314719000,1.52191,1.52231,1.52166,1.5223,302280000,8
1396314720000,1396315199000,1.52229,1.52249,1.52194,1.5223,314900000,8
1396315200000,1396315679000,1.52231,1.52235,1.52199,1.5221,321260000,8
1396315680000,1396316159000,1.52208,1.52242,1.52176,1.52226,342640000,8
1396316160000,1396316639000,1.52226,1.52243,1.52189,1.52207,292470000,8
1396316640000,1396317119000,1.52207,1.52258,1.5218,1.52199,465040000,8
1396317120000,1396317599000,1.52197,1.52208,1.52175,1.52191,256450000,8
1396317600000,1396318079000,1.52191,1.52212,1.52178,1.52208,280120000,8
1396318080000,1396318559000,1.52208,1.52211,1.52181,1.52189,321680000,8
1396318560000,1396319039000,1.5219,1.52224,1.52146,1.52165,341420000,8
1396319040000,1396319519000,1.52166,1.52176,1.52135,1.52167,193880000,8
1396319520000,1396319999000,1.52167,1.5219,1.52156,1.52184,192950000,8
1396320000000,1396320479000,1.52183,1.522,1.52167,1.52194,299660000,8
1396320480000,1396320959000,1.52194,1.52218,1.52194,1.52202,171060000,8
1396320960000,1396321439000,1.52202,1.52202,1.52163,1.52169,264720000,8
1396321440000,1396321919000,1.52169,1.52211,1.52169,1.52198,325610000,8
1396321920000,1396322399000,1.52198,1.52226,1.52198,1.52218,229700000,8
1396322400000,1396322879000,1.52222,1.52242,1.52214,1.52238,218480000,8
1396322880000,1396323359000,1.52241,1.52285,1.52211,1.52277,796080000,8
1396323360000,1396323839000,1.52277,1.52294,1.52252,1.52254,333420000,8
1396323840000,1396324319000,1.52254,1.52291,1.52242,1.52261,459390000,8
