openEpochMillis,closeEpochMillis,open,high,low,close,volume,sourceBars
1335830400000,1335830879000,1.55691,1.55747,1.55661,1.55745,714490000,8
1335830880000,1335831359000,1.55741,1.55756,1.55677,1.55699,389120000,8
1335831360000,1335831839000,1.55699,1.55706,1.55655,1.55661,517060000,8
1335831840000,1335832319000,1.55661,1.55706,1.55643,1.557,447290000,8
1335832320000,1335832799000,1.55705,1.55724,1.5567,1.55676,285920000,8
1335832800000,1335833279000,1.55676,1.55703,1.55665,1.557,373710000,8
1335833280000,1335833759000,1.55694,1.55713,1.55665,1.55688,747310000,8
1335833760000,1335834239000,1.55692,1.55824,1.55686,1.55716,817150000,8
1335834240000,1335834719000,1.55716,1.55818,1.55716,1.55808,748320000,8
1335834720000,1335835199000,1.55808,1.55848,1.55805,1.55847,386340000,8
1335835200000,1335835679000,1.5585,1.55897,1.55802,1.55823,585520000,8
1335835680000,1335836159000,1.55824,1.55879,1.55805,1.55867,633060000,8
1335836160000,1335836639000,1.55867,1.55879,1.55848,1.55861,640290000,8
1335836640000,1335837119000,1.55861,1.55871,1.55723,1.55775,806700000,8
1335837120000,1335837599000,1.55773,1.55806,1.55741,1.55785,548200000,8
1335837600000,1335838079000,1.55785,1.55808,1.55778,1.55804,554510000,8
1335838080000,1335838559000,1.558,1.55827,1.55756,1.55773,464250000,8
1335838560000,1335839039000,1.55771,1.55804,1.55758,1.55774,335780000,8
1335839040000,1335839519000,1.55763,1.55816,1.5574,1.55777,869190000,8
1335839520000,1335839999000,1.55777,1.55822,1.55764,1.55819,321090000,8
1335840000000,1335840479000,1.55819,1.55852,1.5581,1.55826,483150000,8
1335840480000,1335840959000,1.55826,1.55901,1.55821,1.55901,538840000,8
1335840960000,1335841439000,1.55899,1.5591,1.55871,1.55893,354680000,8
1335841440000,1335841919000,1.55893,1.55906,1.55872,1.55881,186310000,8
1335841920000,1335842399000,1.55877,1.55927,1.55868,1.55914,299630000,8
