openEpochMillis,closeEpochMillis,open,high,low,close,volume,sourceBars
1590969600000,1590970079000,1.23455,1.23648,1.2343,1.23611,1233950000,8
1590970080000,1590970559000,1.23611,1.23748,1.23611,1.2374,1387720000,8
1590970560000,1590971039000,1.2374,1.23839,1.2371,1.23829,1347220000,8
1590971040000,1590971519000,1.23831,1.23907,1.23787,1.23787,1405060000,8
1590971520000,1590971999000,1.23788,1.23804,1.23748,1.23787,1090660000,8
1590972000000,1590972479000,1.23787,1.2381,1.23725,1.23728,789450000,8
1590972480000,1590972959000,1.23728,1.2382,1.23725,1.2378,786660000,8
1590972960000,1590973439000,1.23782,1.23782,1.2374,1.23754,830120000,8
1590973440000,1590973919000,1.23754,1.23811,1.23734,1.23803,685770000,8
1590973920000,1590974399000,1.23803,1.23886,1.23768,1.23877,1043640000,8
1590974400000,1590974879000,1.23877,1.2403,1.23861,1.24028,1284250000,8
1590974880000,1590975359000,1.24024,1.2408,1.24003,1.24004,1688910000,8
1590975360000,1590975839000,1.2401,1.24078,1.23975,1.2403,1414350000,8
1590975840000,1590976319000,1.2403,1.2408,1.24013,1.24067,1021200000,8
1590976320000,1590976799000,1.24065,1.24109,1.24038,1.24097,884790000,8
1590976800000,1590977279000,1.24098,1.24104,1.24045,1.24045,741090000,8
1590977280000,1590977759000,1.24046,1.24085,1.24043,1.24078,469100000,8
1590977760000,1590978239000,1.24079,1.24097,1.24055,1.24096,550350000,8
1590978240000,1590978719000,1.24096,1.2412,1.24066,1.24072,677590000,8
1590978720000,1590979199000,1.24074,1.24098,1.24059,1.24075,614660000,8
1590979200000,1590979679000,1.24076,1.24147,1.24073,1.24099,803840000,8
1590979680000,1590980159000,1.24099,1.241,1.24037,1.24042,846960000,8
1590980160000,1590980639000,1.24041,1.24057,1.23985,1.23985,589440000,8
1590980640000,1590981119000,1.23987,1.24007,1.23928,1.23935,836220000,8
1590981120000,1590981599000,1.23933,1.2395,1.23916,1.23925,393030000,8
1590981600000,1590982079000,1.23925,1.2395,1.23869,1.23879,748120000,8
1590982080000,1590982559000,1.23877,1.23882,1.23818,1.23821,689130000,8
1590982560000,1590983039000,1.23821,1.23885,1.23785,1.2387,711170000,8
1590983040000,1590983519000,1.23868,1.23877,1.23792,1.23857,368440000,8
1590983520000,1590983999000,1.23857,1.23863,1.23837,1.23859,454750000,8
1590984000000,1590984479000,1.23862,1.23913,1.23834,1.23892,570620000,8
