openEpochMillis,closeEpochMillis,open,high,low,close,volume,sourceBars
1222819200000,1222819679000,1.0618,1.06255,1.06154,1.06176,101800000,8
1222819680000,1222820159000,1.0623,1.0634,1.0623,1.0625,403400000,8
1222820160000,1222820639000,1.0625,1.06261,1.06175,1.0625,318300000,8
1222820640000,1222821119000,1.0625,1.0628,1.06213,1.06226,80300000,8
1222821120000,1222821599000,1.06235,1.06295,1.06192,1.06285,87500000,8
1222821600000,1222822079000,1.06285,1.06285,1.06226,1.0627,103000000,8
1222822080000,1222822559000,1.0627,1.0627,1.06085,1.06105,179400000,8
1222822560000,1222823039000,1.06115,1.06185,1.0609,1.0613,89900000,8
1222823040000,1222823519000,1.06115,1.0618,1.06105,1.06125,100400000,8
1222823520000,1222823999000,1.06125,1.06195,1.06118,1.0617,121900000,8
1222824000000,1222824479000,1.0616,1.06195,1.06137,1.06163,135000000,8
1222824480000,1222824959000,1.06135,1.0621,1.06135,1.06195,152300000,8
1222824960000,1222825439000,1.06195,1.062,1.06175,1.0619,29400000,8
1222825440000,1222825919000,1.0619,1.06235,1.0619,1.06205,75500000,8
1222825920000,1222826399000,1.06204,1.0622,1.0618,1.0622,146000000,8
1222826400000,1222826879000,1.0622,1.0628,1.06204,1.0625,165500000,8
1222826880000,1222827359000,1.0626,1.0657,1.06245,1.06495,294200000,8
1222827360000,1222827839000,1.06515,1.0656,1.0642,1.06435,195200000,8
1222827840000,1222828319000,1.0644,1.0644,1.06035,1.0629,223500000,8
1222828320000,1222828799000,1.06295,1.06315,1.06161,1.06215,415700000,8
1222828800000,1222829279000,1.0622,1.0623,1.06151,1.0618,122200000,8
1222829280000,1222829759000,1.06155,1.06195,1.06143,1.06195,126700000,8
1222829760000,1222830239000,1.06175,1.0618,1.061,1.0613,86800000,8
1222830240000,1222830719000,1.0613,1.06205,1.06125,1.0617,80700000,8
1222830720000,1222831199000,1.0615,1.06185,1.06145,1.06163,77800000,8
1222831200000,1222831679000,1.06185,1.062,1.06153,1.06168,123700000,8
1222831680000,1222832159000,1.06178,1.0619,1.06153,1.06181,228400000,8
1222832160000,1222832639000,1.06171,1.0623,1.0616,1.06225,97500000,8
1222832640000,1222833119000,1.06217,1.0623,1.06179,1.0623,146100000,8
1222833120000,1222833599000,1.06181,1.0623,1.0618,1.06224,143000000,8
1222833600000,1222834079000,1.06214,1.0623,1.0616,1.0621,237900000,8
1222834080000,1222834559000,1.0619,1.06222,1.06186,1.0621,104100000,8
1222834560000,1222835039000,1.0621,1.06255,1.06195,1.0621,103500000,8
1222835040000,1222835519000,1.06215,1.06245,1.06195,1.06205,54200000,8
1222835520000,1222835999000,1.0622,1.0624,1.06195,1.06208,115100000,8
1222836000000,1222836479000,1.06215,1.0624,1.061,1.0617,162600000,8
1222836480000,1222836959000,1.0617,1.0622,1.06125,1.06155,95800000,8
1222836960000,1222837439000,1.0614,1.0621,1.0612,1.062,75100000,8
1222837440000,1222837919000,1.062,1.06205,1.0616,1.0619,162100000,8
1222837920000,1222838399000,1.062,1.0623,1.0612,1.06175,98600000,8
1222838400000,1222838879000,1.0619,1.06225,1.06125,1.0618,217300000,8
1222838880000,1222839359000,1.0618,1.0619,1.06112,1.0619,288600000,8
1222839360000,1222839839000,1.06195,1.062,1.06107,1.0619,172600000,8
1222839840000,1222840319000,1.0619,1.06195,1.06105,1.0614,302500000,8
1222840320000,1222840799000,1.0614,1.062,1.06104,1.062,104800000,8
1222840800000,1222841279000,1.062,1.0624,1.06152,1.0624,130600000,8
1222841280000,1222841759000,1.0624,1.0624,1.0609,1.0609,285100000,8
1222841760000,1222842239000,1.061,1.06165,1.05895,1.0596,538100000,8
1222842240000,1222842719000,1.05955,1.0601,1.0592,1.0593,460900000,8
1222842720000,1222843199000,1.05918,1.0598,1.05895,1.0595,194100000,8
1222843200000,1222843679000,1.05955,1.0597,1.05877,1.05877,116300000,8
1222843680000,1222844159000,1.0591,1.0604,1.0591,1.05975,117700000,8
1222844160000,1222844639000,1.06005,1.06075,1.05985,1.06015,438400000,8
1222844640000,1222845119000,1.0601,1.0611,1.05995,1.06025,561600000,8
1222845120000,1222845599000,1.0602,1.06085,1.06007,1.0605,377200000,8
1222845600000,1222846079000,1.0605,1.0605,1.05915,1.05925,547600000,8
1222846080000,1222846559000,1.0592,1.0602,1.0583,1.05835,376300000,8
1222846560000,1222847039000,1.058,1.0584,1.0574,1.0577,281000000,8
1222847040000,1222847519000,1.0576,1.05875,1.0576,1.05825,298800000,8
1222847520000,1222847999000,1.05825,1.05855,1.05665,1.0571,1142100000,8
1222848000000,1222848479000,1.0571,1.0574,1.05675,1.0571,126600000,8
1222848480000,1222848959000,1.0573,1.0574,1.05645,1.05725,207700000,8
1222848960000,1222849439000,1.0573,1.05775,1.0569,1.0569,333100000,8
1222849440000,1222849919000,1.05695,1.05755,1.05675,1.05685,356300000,8
1222849920000,1222850399000,1.057,1.05705,1.0563,1.05645,172400000,8
1222850400000,1222850879000,1.0565,1.05655,1.0558,1.05655,184600000,8
1222850880000,1222851359000,1.0566,1.05715,1.056,1.05615,206000000,8
1222851360000,1222851839000,1.05615,1.0565,1.05575,1.05625,249100000,8
1222851840000,1222852319000,1.05625,1.0565,1.05575,1.05575,157500000,8
1222852320000,1222852799000,1.05575,1.05645,1.0555,1.05615,273200000,8
1222852800000,1222853279000,1.05615,1.0563,1.0556,1.05575,46000000,8
1222853280000,1222853759000,1.0558,1.0559,1.05497,1.05516,281500000,8
1222853760000,1222854239000,1.05545,1.05575,1.0554,1.05555,121500000,8
1222854240000,1222854719000,1.05555,1.05565,1.0547,1.05525,234000000,8
1222854720000,1222855199000,1.05501,1.0555,1.05489,1.0555,359100000,8
1222855200000,1222855679000,1.0555,1.05565,1.05525,1.05535,125900000,8
1222855680000,1222856159000,1.05555,1.05565,1.05465,1.0553,475200000,8
1222856160000,1222856639000,1.0553,1.05585,1.055,1.05547,232200000,8
1222856640000,1222857119000,1.05552,1.05685,1.0553,1.05645,391100000,8
1222857120000,1222857599000,1.0565,1.0566,1.05635,1.05655,88500000,8
1222857600000,1222858079000,1.05665,1.06025,1.05665,1.0598,623700000,8
1222858080000,1222858559000,1.06,1.0609,1.05925,1.0596,745300000,8
1222858560000,1222859039000,1.0597,1.0604,1.05835,1.05875,329400000,8
